accuracy,precision,recall,f1_score,false_positive,false_negative,true_negative,true_positive,false_positive_rate,selection_score,ml_weight,rule_weight,threshold,model_name
0.9787849566055931,0.9815384615384616,0.9522388059701492,0.9666666666666667,12,32,1392,638,0.008547008547008548,0.9678152825615511,0.75,0.25,0.55,tuned_random_search
0.9787849566055931,0.9815384615384616,0.9522388059701492,0.9666666666666667,12,32,1392,638,0.008547008547008548,0.9678152825615511,0.85,0.15000000000000002,0.6,tuned_random_search
0.9783027965284474,0.9800307219662059,0.9522388059701492,0.9659348978046934,13,32,1391,638,0.009259259259259259,0.9669614637232753,0.6,0.4,0.45,tuned_random_search
0.9768563162970106,0.9844236760124611,0.9432835820895522,0.9634146341463414,10,38,1394,632,0.007122507122507123,0.9653350109386941,0.6,0.4,0.5,tuned_random_search
0.9768563162970106,0.9814241486068112,0.9462686567164179,0.9635258358662614,12,36,1392,634,0.008547008547008548,0.9650165434311072,0.65,0.35,0.5,tuned_random_search
0.9768563162970106,0.9814241486068112,0.9462686567164179,0.9635258358662614,12,36,1392,634,0.008547008547008548,0.9650165434311072,0.8,0.19999999999999996,0.6,tuned_random_search
0.9754098360655737,0.9813374805598756,0.9417910447761194,0.9611576542269612,12,39,1392,631,0.008547008547008548,0.9629109298093167,0.7,0.30000000000000004,0.55,tuned_random_search
0.9758919961427194,0.9711246200607903,0.9537313432835821,0.9623493975903614,19,31,1385,639,0.013532763532763533,0.9625817152934959,0.65,0.35,0.45,baseline_default
0.9758919961427194,0.9682779456193353,0.9567164179104478,0.9624624624624625,21,29,1383,641,0.014957264957264958,0.9623100352512581,0.65,0.35,0.4,baseline_default
0.9758919961427194,0.9682779456193353,0.9567164179104478,0.9624624624624625,21,29,1383,641,0.014957264957264958,0.9623100352512581,0.7,0.30000000000000004,0.4,baseline_default
0.9754098360655737,0.9710806697108066,0.9522388059701492,0.9615674453654861,19,32,1385,638,0.013532763532763533,0.9618790466133766,0.7,0.30000000000000004,0.5,baseline_default
0.9754098360655737,0.9710806697108066,0.9522388059701492,0.9615674453654861,19,32,1385,638,0.013532763532763533,0.9618790466133766,0.75,0.25,0.55,baseline_default
0.9754098360655737,0.9710806697108066,0.9522388059701492,0.9615674453654861,19,32,1385,638,0.013532763532763533,0.9618790466133766,0.8,0.19999999999999996,0.55,baseline_default
0.9754098360655737,0.9710806697108066,0.9522388059701492,0.9615674453654861,19,32,1385,638,0.013532763532763533,0.9618790466133766,0.85,0.15000000000000002,0.6,baseline_default
0.9744455159112826,0.9843014128728415,0.935820895522388,0.9594491201224178,10,43,1394,627,0.007122507122507123,0.9618230376714135,0.65,0.35,0.55,tuned_random_search
0.9754098360655737,0.9682299546142209,0.9552238805970149,0.9616829451540195,21,30,1383,640,0.014957264957264958,0.9616073718328157,0.6,0.4,0.4,baseline_default
0.9754098360655737,0.9682299546142209,0.9552238805970149,0.9616829451540195,21,30,1383,640,0.014957264957264958,0.9616073718328157,0.7,0.30000000000000004,0.45,baseline_default
0.9754098360655737,0.9682299546142209,0.9552238805970149,0.9616829451540195,21,30,1383,640,0.014957264957264958,0.9616073718328157,0.75,0.25,0.45,baseline_default
0.9754098360655737,0.9682299546142209,0.9552238805970149,0.9616829451540195,21,30,1383,640,0.014957264957264958,0.9616073718328157,0.8,0.19999999999999996,0.45,baseline_default
0.9754098360655737,0.9682299546142209,0.9552238805970149,0.9616829451540195,21,30,1383,640,0.014957264957264958,0.9616073718328157,0.8,0.19999999999999996,0.5,baseline_default
0.9754098360655737,0.9682299546142209,0.9552238805970149,0.9616829451540195,21,30,1383,640,0.014957264957264958,0.9616073718328157,0.85,0.15000000000000002,0.5,baseline_default
0.9754098360655737,0.9668174962292609,0.9567164179104478,0.9617404351087772,22,29,1382,641,0.01566951566951567,0.9614752742217806,0.75,0.25,0.4,baseline_default
0.9749276759884281,0.9724770642201835,0.9492537313432836,0.9607250755287009,18,34,1386,636,0.01282051282051282,0.9613153776580365,0.6,0.4,0.5,baseline_default
0.9749276759884281,0.9710365853658537,0.9507462686567164,0.9607843137254902,19,33,1385,637,0.013532763532763533,0.9611757480272063,0.6,0.4,0.45,baseline_default
